question_id,question_text,reasoning_path,gold_answer,difficulty,domain,question_type
2-HOP_TEAM_COUNTRY_001,Semavi Özgür'ın oynadığı takımın ülkesi neresidir?,Semavi Özgür -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_002,kerem can akyuz'ın oynadığı takımın ülkesi neresidir?,kerem can akyuz -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_003,Ahmet Bahçıvan'ın oynadığı takımın ülkesi neresidir?,Ahmet Bahçıvan -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_004,mehmet sıddık istemi'ın oynadığı takımın ülkesi neresidir?,mehmet sıddık istemi -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_005,i̇brahim ferdi coşkun'ın oynadığı takımın ülkesi neresidir?,i̇brahim ferdi coşkun -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_006,Sehmus Ozer'ın oynadığı takımın ülkesi neresidir?,Sehmus Ozer -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_007,volkan dikmen'ın oynadığı takımın ülkesi neresidir?,volkan dikmen -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_008,Baris Atas'ın oynadığı takımın ülkesi neresidir?,Baris Atas -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_009,Hakan Akman'ın oynadığı takımın ülkesi neresidir?,Hakan Akman -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_010,Huesnue Zeybekoglu'ın oynadığı takımın ülkesi neresidir?,Huesnue Zeybekoglu -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_011,Abdülaziz Demircan'ın oynadığı takımın ülkesi neresidir?,Abdülaziz Demircan -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_012,Deniz Naki'ın oynadığı takımın ülkesi neresidir?,Deniz Naki -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_013,caner çolak'ın oynadığı takımın ülkesi neresidir?,caner çolak -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_014,Tayfun Seven'ın oynadığı takımın ülkesi neresidir?,Tayfun Seven -> member of sports team -> diyarbakir bueyueksehir belediye diski spor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_015,tarik altuntas'ın oynadığı takımın ülkesi neresidir?,tarik altuntas -> member of sports team -> balçova belediyespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_016,kadir ari'ın oynadığı takımın ülkesi neresidir?,kadir ari -> member of sports team -> balçova belediyespor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_017,veli kizilkaya'ın oynadığı takımın ülkesi neresidir?,veli kizilkaya -> member of sports team -> Kütahyaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_018,Adnan yıldız'ın oynadığı takımın ülkesi neresidir?,Adnan yıldız -> member of sports team -> Kütahyaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_019,eriş özkan'ın oynadığı takımın ülkesi neresidir?,eriş özkan -> member of sports team -> Kütahyaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_020,Gurkan Ekren'ın oynadığı takımın ülkesi neresidir?,Gurkan Ekren -> member of sports team -> Kütahyaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_021,Kemalettin Senturk'ın oynadığı takımın ülkesi neresidir?,Kemalettin Senturk -> member of sports team -> Kütahyaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_022,Burak Can Kalender'ın oynadığı takımın ülkesi neresidir?,Burak Can Kalender -> member of sports team -> Manavgatspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_023,osman çelik'ın oynadığı takımın ülkesi neresidir?,osman çelik -> member of sports team -> Manavgatspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_024,Atakan Cangöz'ın oynadığı takımın ülkesi neresidir?,Atakan Cangöz -> member of sports team -> Manavgatspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_025,i̇hsan poyraz'ın oynadığı takımın ülkesi neresidir?,i̇hsan poyraz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_026,Semavi Özgür'ın oynadığı takımın ülkesi neresidir?,Semavi Özgür -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_027,gokhan emreciksin'ın oynadığı takımın ülkesi neresidir?,gokhan emreciksin -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_028,umut sozen'ın oynadığı takımın ülkesi neresidir?,umut sozen -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_029,Fevzi Tuncay'ın oynadığı takımın ülkesi neresidir?,Fevzi Tuncay -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_030,eray ataseven'ın oynadığı takımın ülkesi neresidir?,eray ataseven -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_031,Eren Aydin'ın oynadığı takımın ülkesi neresidir?,Eren Aydin -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_032,Ergin Keles'ın oynadığı takımın ülkesi neresidir?,Ergin Keles -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_033,hikmet balioğlu'ın oynadığı takımın ülkesi neresidir?,hikmet balioğlu -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_034,yaser yildiz'ın oynadığı takımın ülkesi neresidir?,yaser yildiz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_035,Sinan Kaloglu'ın oynadığı takımın ülkesi neresidir?,Sinan Kaloglu -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_036,Fatih Yilmaz'ın oynadığı takımın ülkesi neresidir?,Fatih Yilmaz -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_037,tolga doğantez'ın oynadığı takımın ülkesi neresidir?,tolga doğantez -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_038,Onur Karakabak'ın oynadığı takımın ülkesi neresidir?,Onur Karakabak -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_039,oguzhan kayar'ın oynadığı takımın ülkesi neresidir?,oguzhan kayar -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_040,güven varol'ın oynadığı takımın ülkesi neresidir?,güven varol -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
2-HOP_TEAM_COUNTRY_041,hakan turan'ın oynadığı takımın ülkesi neresidir?,hakan turan -> member of sports team -> Vestel Manisaspor -> country -> turkiye,turkiye,2-hop,sports,team_country
