question_type,question,answer,player_id,player_name,club_id,club_name,venue_id,venue_name,reasoning_path
pattern_c_team_home_venue,What is the home venue of the team of Bulut Basmaz?,elazığ atatürk stadium,Q1004726,Bulut Basmaz,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Bulut Basmaz --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of i̇lker erbay?,elazığ atatürk stadium,Q10434601,i̇lker erbay,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,i̇lker erbay --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Yunus Altun?,elazığ atatürk stadium,Q10507034,Yunus Altun,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Yunus Altun --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of deniz aslan?,elazığ atatürk stadium,Q1187832,deniz aslan,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,deniz aslan --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Murat Kayalı?,elazığ atatürk stadium,Q1230804,Murat Kayalı,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Murat Kayalı --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of gokhan emreciksin?,elazığ atatürk stadium,Q1253508,gokhan emreciksin,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,gokhan emreciksin --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of alper kalemci?,elazığ atatürk stadium,Q1268421,alper kalemci,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,alper kalemci --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Murat Akyuez?,elazığ atatürk stadium,Q1290838,Murat Akyuez,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Murat Akyuez --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Erdinc Yavuz?,elazığ atatürk stadium,Q1349279,Erdinc Yavuz,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Erdinc Yavuz --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
pattern_c_team_home_venue,What is the home venue of the team of Eren Aydin?,elazığ atatürk stadium,Q1349995,Eren Aydin,Q1127498,sanica boru elâzığspor,Q1325035,elazığ atatürk stadium,Eren Aydin --[member of sports team]--> sanica boru elâzığspor --[home venue]--> elazığ atatürk stadium
