rel1,rel2,rel3,freq,usable
country,diplomatic relation,diplomatic relation,45521582,True
country of citizenship,diplomatic relation,diplomatic relation,20925478,True
country,diplomatic relation,contains administrative territorial entity,17820560,True
country,diplomatic relation,member of,15029754,True
country of citizenship,diplomatic relation,contains administrative territorial entity,8216553,True
country of citizenship,diplomatic relation,member of,6873085,True
country,shares border with,diplomatic relation,6109212,True
diplomatic relation,diplomatic relation,diplomatic relation,5156555,True
country,diplomatic relation,shares border with,5132078,True
country,diplomatic relation,head of government,4825944,True
country,diplomatic relation,head of state,4128851,True
country,shares border with,contains administrative territorial entity,3296506,True
country,diplomatic relation,instance of,3080813,False
country of origin,diplomatic relation,diplomatic relation,2857448,True
country of citizenship,shares border with,diplomatic relation,2784530,True
country,diplomatic relation,located in time zone,2664104,True
country,diplomatic relation,public holiday,2621659,True
country,diplomatic relation,ethnic group,2405592,True
country of citizenship,diplomatic relation,shares border with,2355818,True
country of citizenship,diplomatic relation,head of government,2199216,True
country,diplomatic relation,official language,2098955,True
diplomatic relation,diplomatic relation,contains administrative territorial entity,1928144,True
country of citizenship,diplomatic relation,head of state,1888570,True
country,shares border with,member of,1681741,True
diplomatic relation,diplomatic relation,member of,1505203,True
country of citizenship,shares border with,contains administrative territorial entity,1483704,True
country,shares border with,shares border with,1449285,True
country of citizenship,diplomatic relation,instance of,1414877,False
country,diplomatic relation,currency,1278801,True
country of citizenship,diplomatic relation,located in time zone,1219414,True
country of citizenship,diplomatic relation,public holiday,1202583,True
country,diplomatic relation,electrical plug type,1170964,True
country,country,contains administrative territorial entity,1158577,True
country,contains administrative territorial entity,capital,1144692,True
country,contains administrative territorial entity,instance of,1144692,False
country,contains administrative territorial entity,country,1144611,True
country of origin,diplomatic relation,contains administrative territorial entity,1123078,True
country of citizenship,diplomatic relation,ethnic group,1113300,True
country,diplomatic relation,top-level Internet domain,999252,True
country,diplomatic relation,basic form of government,983707,True
country of citizenship,diplomatic relation,official language,962649,True
country,contains administrative territorial entity,contains administrative territorial entity,960976,True
country of origin,diplomatic relation,member of,929009,True
country,diplomatic relation,anthem,911735,True
country,shares border with,currency,882290,True
country,diplomatic relation,highest point,866886,True
country,country,diplomatic relation,863207,True
country,diplomatic relation,part of,856491,False
country,diplomatic relation,emergency phone number,853901,True
country,diplomatic relation,legislative body,853744,True
country,diplomatic relation,country,852313,True
country,diplomatic relation,flag,838396,True
country,diplomatic relation,geography of topic,823856,True
country,diplomatic relation,history of topic,810350,True
country,diplomatic relation,capital,810201,True
narrative location,diplomatic relation,diplomatic relation,804967,True
country of citizenship,shares border with,member of,801276,True
country,diplomatic relation,coat of arms,794658,True
country,diplomatic relation,topic's main Wikimedia portal,780913,True
country,diplomatic relation,office held by head of government,766313,True
country,diplomatic relation,described by source,753198,True
country,diplomatic relation,lowest point,722647,True
country,diplomatic relation,located in or next to body of water,707583,True
located in the administrative territorial entity,country,contains administrative territorial entity,696018,True
country,diplomatic relation,continent,680498,True
member of sports team,country,contains administrative territorial entity,668362,True
country of citizenship,shares border with,shares border with,655492,True
