relation_name,count
instance of,4181714
country,1394720
occupation,1175831
country of citizenship,1154372
located in the administrative territorial entity,925873
member of sports team,922642
given name,876691
place of birth,860528
cast member,517252
sport,489735
educated at,441054
shares border with,430303
located in time zone,405834
genre,378334
taxon rank,377474
parent taxon,353204
place of death,281239
country of origin,263069
"languages spoken, written or signed",239159
participant of,223262
performer,189878
award received,185455
position played on team / speciality,183273
follows,168554
followed by,161075
record label,158086
part of,144176
original language of film or TV show,137297
member of political party,126855
family name,111002
contains administrative territorial entity,108789
director,100624
subclass of,99704
member of,97199
language of work or name,95396
headquarters location,83672
employer,80437
position held,78907
sibling,76590
is a list of,76311
conflict,72748
work location,71735
has part,68170
child,65585
composer,63350
producer,59596
author,59208
operator,56653
IUCN conservation status,52221
father,50346
screenwriter,49595
described by source,49165
publisher,47296
spouse,47003
manner of death,43034
instrument,42914
platform,42092
named after,42037
twinned administrative body,39624
military branch,38585
religion,37936
director of photography,35807
place of burial,34381
location,34150
owned by,33942
distributor,33490
winner,31599
color,30858
sports season of league or competition,30735
original network,30324
discoverer or inventor,30110
manufacturer,30047
cause of death,29792
ethnic group,28054
adjacent station,26930
main subject,26579
game mode,26229
narrative location,26162
part of the series,24896
nominated for,23372
minor planet group,23071
production company,22716
depicts,21999
league,21755
continent,20998
capital,20872
field of work,20683
connecting line,20417
native language,20181
developer,19668
site of astronomical discovery,19412
facet of,18924
located on terrain feature,18729
participant,18682
creator,17667
writing system,17000
filming location,16744
architectural style,16687
military rank,16653
mother,16639
different from,16383
architect,15744
heritage designation,15699
location of formation,15300
material used,14464
maintained by,14413
notable work,14340
film editor,14336
family,13891
found in taxon,13822
mouth of the watercourse,13549
founded by,13359
industry,12655
said to be the same as,12353
significant event,11829
movement,11740
chromosome,11643
highway system,11522
sports discipline competed in,11222
residence,11188
distribution format,10425
participating team,10236
home venue,9950
present in work,9884
occupant,9111
based on,8984
place served by transport hub,8526
organizer,8464
voice actor,8127
student of,8076
located in or next to body of water,7967
competition class,7932
doctoral advisor,7773
lyrics by,7758
constellation,7663
use,7458
successful candidate,7283
political ideology,7267
legal form,7206
terminus,7071
endemic to,6919
characters,6867
collection,6847
operating system,6731
capital of,6730
voice type,6723
track gauge,6701
Gram staining,6420
noble title,6220
time period,6037
license,5909
vessel class,5873
input method,5796
applies to jurisdiction,5788
stock exchange,5691
influenced by,5599
product or material produced,5546
designed by,5463
production designer,5442
from fictional universe,5432
diplomatic relation,5382
academic degree,5355
parent organization,5329
student,5287
religious order,5143
licensed to broadcast to,5127
connects with,5073
official language,4947
crosses,4792
diocese,4773
mountain range,4722
medical condition,4683
relative,4683
programming language,4670
health specialty,4628
head coach,4570
start point,4330
sex or gender,4258
tributary,4183
subsidiary,4004
connecting service,3970
location of final assembly,3960
discography,3928
chairperson,3743
drafted by,3739
office contested,3625
newspaper format,3603
powered by,3506
head of government,3504
terminus location,3484
located in protected area,3461
convicted of,3458
replaces,3440
replaced by,3355
after a work by,3282
genetic association,3277
executive producer,3216
archives at,3057
located on astronomical location,3014
species kept,3004
flag bearer,2898
drug used for treatment,2867
medical condition treated,2789
general classification of race participants,2758
Partner,2732
office held by head of government,2713
item operated,2569
costume designer,2566
airline hub,2443
software engine,2370
legislated by,2304
brand,2276
subject has role,2269
contains settlement,2265
canonization status,2254
parent peak,2232
partner in business or sport,2139
consecrator,2133
space launch vehicle,2130
tonality,2112
presenter,2072
armament,2051
highest point,2038
cover art by,2025
statistical leader,2003
place of detention,1976
has fruit type,1944
opposite of,1916
allegiance,1891
Roman praenomen,1871
country for sport,1852
operating area,1830
dedicated to,1817
lake inflows,1795
wheel arrangement,1795
significant drug interaction,1772
crew member,1769
patron saint,1763
editor,1763
librettist,1760
commander of,1718
destination point,1711
Köppen climate classification,1699
camera setup,1697
linguistic typology,1693
astronaut mission,1622
primary destinations,1588
ammunition,1585
instrumentation,1578
crystal system,1476
doctoral student,1420
type of electrification,1416
lake outflow,1409
illustrator,1375
second family name in Spanish name,1362
tracklist,1353
place of publication,1346
cathedral,1342
bowling style,1331
surface played on,1330
published in,1329
currency,1317
located on street,1314
film crew member,1283
conferred by,1260
aspect ratio,1252
director/manager,1248
home port,1177
has parts of the class,1177
child astronomical body,1109
title of chess person,1098
parent astronomical body,1087
political alignment,1042
pole position,1041
represented by,1028
hair color,1020
head of state,1004
readable file format,991
basic form of government,984
officeholder,954
candidacy in election,951
feast day,931
mushroom ecological type,903
recorded at,892
chief executive officer,889
sponsor,876
has cause,873
GUI toolkit or framework,865
legislative body,861
signatory,847
significant person,845
carries,801
flag,797
catalog,793
language used,790
hymenium type,766
has facet polytope,763
symptoms,737
affiliation,726
name day,718
candidate,712
culture,711
uses,711
represents,710
sexual orientation,702
main building contractor,688
family name identical to this given name,673
inspired by,669
has quality,668
standards body,651
coat of arms,613
social classification,612
relegated,610
contributed to creative work,602
field of this occupation,601
day in year for periodic occurrence,600
Wikimedia portal's main topic,600
commissioned by,597
streak color,596
has effect,590
anthem,570
set in period,560
P2439,552
CPU,545
list of episodes,541
topic's main Wikimedia portal,540
has list,537
spore print color,537
cuisine,534
territory claimed by,529
takes place in fictional universe,516
taxonomic type,508
structural engineer,502
interested in,500
exhibition history,480
contributor(s) to the creative work or subject,479
lakes on river,478
used by,457
victory,445
worshipped by,430
has facility,429
geography of topic,425
month of the year,424
type of orbit,423
business division,414
type locality (geology),401
public holiday,401
history of topic,397
owner of,396
measured physical quantity,396
fabrication method,394
studies,393
origin of the watercourse,392
location of landing,389
asteroid spectral type,380
killed by,376
basin country,375
radio format,373
location of discovery,364
official residence,361
anatomical location,359
studied by,358
website account on,347
P1962,330
appointed by,328
stated in,322
military casualty classification,316
place of origin (Switzerland),316
commemorates,316
interchange station,316
lifestyle,314
top-level Internet domain,314
vessel,311
software quality assurance,298
programming paradigm,298
central bank/issuer,297
fictional universe described in,292
lowest point,287
indigenous to,279
afflicts,273
source of energy,268
honorific prefix,266
volcano observatory,265
wing configuration,261
penalty,260
airline alliance,256
storyboard artist,255
soundtrack release,252
electrical plug type,251
rector,250
league level below,249
office held by head of the organization,247
league level above,243
points classification,242
cell component,240
musical conductor,239
partially coincident with,236
choreographer,230
has dialect (DEPRECATED),230
discovery method,229
emergency phone number,229
qualifies for event,225
dual to,223
has grammatical case,220
arterial supply,213
target,212
route of administration,210
general manager,209
handedness,208
depicted by,207
playing hand,207
ancestral home,204
guidance system,200
promoted,198
Saros cycle of eclipse,198
type of variable star,198
organization directed from the office or person,198
mascot,197
depends on software,191
narrator,190
given name version for other gender,188
edibility,187
natural product of taxon,183
referee,180
has edition,176
this taxon is source of,173
writable file format,172
Fach,172
shape,169
broadcast by,169
approved by,168
scheduled service destination,166
partnership with,165
executive body,162
mount,161
has immediate cause,157
secretary general,154
parent club,152
has contributing factor,152
manifestation of,148
board member,147
has vertex figure,147
product certification,146
officially opened by,145
enclave within,144
backup or reserve team or crew,142
statement describes,133
asteroid family,132
list of works,131
filmography,128
engine configuration,125
innervated by,125
main regulatory text,125
mother house,123
translator,123
art director,120
points/goal scored by,120
underlies,120
theme music,119
captain,119
superhuman feature or ability,117
league points system,116
physically interacts with,115
overlies,115
next crossing upstream,113
investigated by,112
cause of destruction,110
office held by head of state,109
biological process,107
stepparent,106
statement is subject of,105
port of registry,105
innervates,104
next crossing downstream,103
series spin-off,103
edition or translation of,102
cites work,100
official symbol,99
exemplar of,99
investor,99
interaction,99
"parent of this hybrid, breed, or cultivar",99
flower color,98
language regulatory body,97
depositor,97
fictional analog of,97
antagonist muscle,93
authority,92
programmer,91
teams classification by time,88
coolant,87
venous drainage,87
list of characters,85
measured by,82
medical examinations,81
separated from,80
foundational text,79
structure replaced by,77
anatomical branch of,76
exclave of,74
taxon synonym,73
defendant,73
oath made by,72
list of monuments,71
has anatomical branch,71
main food source,70
domain of saint or deity,69
charge,68
donated by,65
speaker,64
birthday,64
means of locomotion,63
wears,63
solid solution series with,62
party chief representative,61
diaspora,61
motto,60
package management system,59
professorship,59
record or record progression,58
instruction set,55
proved by,55
record held,54
via,53
academic major,52
molecular function,52
possible treatment,51
godparent,50
notation,50
highest judicial authority,50
temporal range end,49
stock market index,48
central bank,48
connector,48
order of battle,48
lymphatic drainage,46
solved by,45
temporal range start,45
member of the deme,45
habitat,43
of,43
encoded by,42
torch lit by,42
encodes,41
has tense,41
unveiled by,39
designated as terrorist by,39
curator,39
base,38
incarnation of,38
electoral district,38
intended public,38
ortholog,37
has grammatical mood,37
designed to carry,37
undercarriage,36
sexually homologous with,36
muscle insertion,35
practiced by,35
applies to part,35
payment types accepted,35
pendant of,35
muscle origin,34
structure replaces,34
issued by,33
named by,32
this zoological name is coordinate with,32
docking port,32
charted in,31
substitute/deputy/replacement of office/officeholder,30
first aid measures,30
judge,30
significant environmental impact,29
measures,29
recovered by,29
adjacent building,29
home world,28
people or cargo transported,28
debut participant,27
radix,27
contributing factor of,27
has phoneme,27
objective of project or action,27
produced by,27
territory overlaps,27
open days,27
together with,27
nominee,27
implementation of,26
does not have part,26
offers view on,26
day of week,26
permanent duplicated item,26
launch contractor,25
topic's main category,25
binding of software library,24
immediate cause of,24
foods traditionally associated,24
coextensive with,24
basionym,23
mouthpiece,23
Digital Rights Management system,23
destroyed,23
contains,23
intangible cultural heritage status,22
carries scientific instrument,22
solves,22
source of income,22
vehicle normally used,22
stage classification,21
sidekick of,21
located in present-day administrative territorial entity,21
lithography,21
BBFC rating,21
co-driver,20
emulates,20
codomain,19
plaintiff,19
used metre,19
fuel system,19
guest of honor,19
phase of matter,18
antiparticle,18
recording or performance of,18
introduced feature,18
seal description,18
avionics,17
decays to,17
has pet,17
vaccine for,17
attributed to,16
astronomical filter,16
game artist,16
develops from,15
supports programming language,15
honorific suffix,15
official religion,15
replaced synonym (for nom. nov.),14
B-side (DEPRECATED),14
valid in period,14
copyright holder,14
located on linear feature,14
activating neurotransmitter,13
enclosure,13
fossil found in this unit,13
direction relative to location,13
satellite bus,13
members have occupation,12
Code of nomenclature,12
domain,12
protocol,12
phase point,11
input set,11
defender,11
source of material,11
addressee,11
original combination,11
elector,10
currency symbol description,10
has natural reservoir,10
had as last meal,10
conjugate base,10
fracturing,10
professional name (Japan),10
conjugate acid,10
amended by,10
excavation director,10
train depot,9
patient of,9
GPU,9
repealed by,9
space tug,9
end cause,9
host,9
side effect,8
has superpartner,8
railway signalling system,8
superpartner of,8
Roman nomen gentilicium,8
iconographic symbol,8
companion of,8
Y-DNA Haplogroup,7
class,7
postsynaptic connection,7
Roman cognomen,7
typeface/font used,7
totem,7
direction,7
production statistics,7
regulated by,7
positive therapeutic predictor,7
prosecutor,7
printed by,7
chief operating officer,7
laws applied,7
has melody,6
regulates (molecular biology),6
presynaptic connection,6
valvetrain configuration,6
author of foreword,6
P3484,6
type of kinship,6
damaged,6
colonel-in-chief,6
chivalric order,6
cardinality of this set,6
Wikidata property example,6
possessed by spirit,6
negative therapeutic predictor,5
muscle action,5
corporate officer,5
Catholic rite,5
original film format,5
start period,5
tourist office,5
parliamentary term,5
by-product of,5
takeoff and landing capability,5
mountains classification,4
supercharger,4
end period,4
character role,4
repeals,4
category of associated people,4
script directionality,4
mode of inheritance,4
best sprinter classification,4
determination method,4
review score by,4
disjoint union of,3
doctoral thesis,3
inflorescence,3
proxy,3
final event,3
youth wing,3
pathogen transmission process,3
IUCN protected areas category,3
parent cell line,3
eye color,3
file format,3
mirrors data from,3
crystal habit,3
neurological function,3
highest note,3
decay mode,3
socket supported,3
topic's main template,3
EC enzyme classification,3
by-product,3
patronym or matronym for this name,3
dan/kyu rank,3
criterion used,3
sitter,3
statement disputed by,2
removed feature,2
mandates,2
is pollinator of,2
reply to,2
update method,2
young rider classification,2
decreased expression in,2
Roman agnomen,2
lowest note,2
sourcing circumstances,2
overrules,2
category for people born here,2
is pollinated by,2
valid in place,2
active ingredient in,2
tempo marking,2
elected in,2
metrically compatible typeface,2
game mechanics,2
transmitted signal type,2
for work,2
category contains,2
mtDNA haplogroup,2
gait,2
approximation algorithm,2
relative to,2
template's main topic,2
closed on,2
biological variant of,2
metasubclass of,2
type of unit for this property,2
interleaves with,2
Vox-ATypI classification,2
compressor type,2
index case of,1
has index case,1
admissible rule in,1
nominated by,1
ecoregion (WWF),1
stage reached,1
based on heuristic,1
category combines topics,1
ambitus,1
has active ingredient,1
next higher rank,1
classification of race,1
including,1
spatial reference system,1
substrate of,1
next lower rank,1
signed form,1
Eight Banner register,1
natural reservoir of,1
statement supported by,1
volcanic explosivity index,1
vice-county,1
CERO rating,1
received signal type,1
deletion association with,1
point group,1
grammatical option indicates,1
UNESCO language status,1
best combative classification,1
MediaWiki hooks used,1
shooting handedness,1
magnetic ordering,1
category's main topic,1
author of afterword,1
teaching method,1
excluding,1
gene substitution association with,1
gene inversion association with,1
gene duplication association with,1
Wi-Fi access,1
