relation_name,count
instance of,21587
country,14852
member of sports team,11341
located in time zone,9716
located in the administrative territorial entity,8650
country of citizenship,6888
occupation,6779
place of birth,5285
diplomatic relation,3619
sport,3186
cast member,2084
position played on team / speciality,1825
contains administrative territorial entity,1609
"languages spoken, written or signed",1361
member of,1309
educated at,1232
participant of,1084
country of origin,955
place of death,909
genre,834
original language of film or TV show,737
headquarters location,552
member of political party,531
shares border with,519
twinned administrative body,507
league,439
narrative location,420
part of,394
head of government,382
award received,370
location,358
director,344
head of state,320
ethnic group,299
described by source,285
conflict,257
has part,252
language used,234
place of burial,221
manner of death,212
participant,208
subclass of,205
public holiday,204
official language,203
owned by,192
filming location,176
named after,162
currency,160
is a list of,159
religion,159
capital,158
producer,158
architectural style,157
screenwriter,157
instrument,155
operator,136
connects with,136
cause of death,135
home venue,132
parent organization,128
sports season of league or competition,126
employer,123
sibling,123
facet of,121
original network,115
spouse,112
child,110
occupant,103
composer,102
legal form,101
electrical plug type,97
continent,96
father,96
position held,96
significant event,89
top-level Internet domain,85
basic form of government,84
highest point,82
anthem,81
founded by,81
architect,79
legislative body,74
flag,74
located in or next to body of water,73
geography of topic,72
history of topic,72
topic's main Wikimedia portal,71
emergency phone number,71
language of work or name,69
coat of arms,66
competition class,66
office held by head of government,65
distributor,63
mouth of the watercourse,63
political ideology,62
director of photography,62
industry,61
lowest point,59
head coach,59
main subject,58
field of work,58
work location,58
sports discipline competed in,56
manufacturer,56
located on terrain feature,56
operating area,52
place served by transport hub,52
tributary,51
production company,50
executive body,47
nominated for,47
native language,45
separated from,45
military rank,44
office held by head of state,43
record label,43
material used,42
crosses,40
different from,39
basin country,38
chairperson,38
highest judicial authority,38
residence,37
director/manager,36
film editor,36
track gauge,34
mother,33
family,32
heritage designation,30
successful candidate,29
linguistic typology,28
signatory,27
author,27
office contested,27
capital of,27
organizer,26
characters,26
notable work,26
said to be the same as,25
location of formation,23
product or material produced,23
replaces,22
central bank,22
performer,22
publisher,21
based on,21
writing system,21
academic degree,20
influenced by,20
winner,20
color,19
highway system,19
creator,18
medical condition,18
start point,17
political alignment,17
use,17
part of the series,17
airline hub,16
terminus,16
adjacent station,15
doctoral advisor,15
item operated,15
military branch,14
convicted of,13
executive producer,13
has dialect (DEPRECATED),13
commissioned by,13
voice type,13
newspaper format,12
student of,12
flag bearer,12
day in year for periodic occurrence,12
country for sport,11
space launch vehicle,11
patron saint,11
main regulatory text,11
points classification,10
surface played on,10
drafted by,10
after a work by,9
Partner,9
motto,9
terminus location,9
foundational text,9
mountain range,9
designated as terrorist by,8
title of chess person,8
hair color,8
discography,8
voice actor,8
official symbol,8
dedicated to,8
depicts,8
statistical leader,8
applies to jurisdiction,7
candidacy in election,7
structural engineer,7
destination point,7
participating team,7
fabrication method,7
production designer,7
pole position,6
sponsor,6
consecrator,6
platform,6
significant person,6
commander of,6
carries,6
replaced by,5
developer,5
presenter,5
armament,5
month of the year,5
target,5
doctoral student,5
sex or gender,5
owner of,5
game mode,5
has grammatical case,5
subsidiary,5
partner in business or sport,5
allegiance,4
movement,4
teams classification by time,4
ammunition,4
present in work,4
relative,4
territory claimed by,4
designed by,4
diaspora,4
archives at,4
territory overlaps,3
interested in,3
source of energy,3
located on street,3
language regulatory body,3
secretary general,3
wheel arrangement,3
distribution format,3
diocese,3
feast day,3
place of detention,3
office held by head of the organization,3
canonization status,3
business division,3
costume designer,3
seal description,3
software engine,2
aspect ratio,2
has grammatical mood,2
list of episodes,2
speaker,2
order of battle,2
soundtrack release,2
editor,2
connecting line,2
lyrics by,2
rector,2
primary destinations,2
vessel class,2
stock exchange,2
radio format,2
cathedral,2
origin of the watercourse,2
indigenous to,2
studied by,2
payment types accepted,2
official residence,2
list of monuments,2
officeholder,2
located in protected area,2
electoral district,2
home port,2
chief executive officer,2
commemorates,2
investigated by,2
endemic to,1
Wikimedia portal's main topic,1
habitat,1
camera setup,1
has effect,1
has quality,1
P1962,1
depositor,1
shape,1
unveiled by,1
intangible cultural heritage status,1
parent peak,1
uses,1
location of final assembly,1
input method,1
IUCN conservation status,1
corporate officer,1
exclave of,1
published in,1
takes place in fictional universe,1
opposite of,1
culture,1
lake outflow,1
birthday,1
airline alliance,1
currency symbol description,1
license,1
production statistics,1
second family name in Spanish name,1
represented by,1
foods traditionally associated,1
lake inflows,1
approved by,1
time period,1
noble title,1
next crossing upstream,1
has list,1
location of discovery,1
maintained by,1
main building contractor,1
religious order,1
operating system,1
discoverer or inventor,1
place of publication,1
central bank/issuer,1
has cause,1
appointed by,1
