relation_name,count
country,14852
member of sports team,11341
country of citizenship,6888
occupation,6779
place of birth,5285
sport,3186
cast member,2084
educated at,1232
country of origin,955
genre,834
headquarters location,552
league,439
narrative location,420
head of government,382
award received,370
location,358
director,344
head of state,320
filming location,176
home venue,132
sports season of league or competition,126
office held by head of government,65
director of photography,62
industry,61
head coach,59
work location,58
sports discipline competed in,56
place served by transport hub,52
office held by head of state,43
record label,43
basin country,38
director/manager,36
location of formation,23
country for sport,11
terminus location,9
partner in business or sport,5
office held by head of the organization,3
location of final assembly,1
birthday,1
location of discovery,1
