entity_id,name
Q100005,Tadeusz Borowski
Q1000053,nebenzya
Q10001,un/locode:nldev
Q1000127,Kuloy
Q1000144,Lwowiec
Q1000146,nędza
Q1000147,Tworóg
Q10002,"enschede, netherlands"
Q10002689,Mariusz Ziółko
Q1000296,"Fred (footballer, born 1979)"
Q1000306,operation sky monitor
Q1000365,"Międzybórz, Łódź Voivodeship"
Q1000404,pryluky
Q1000414,Pavlokoma
Q1000424,dudyńce
Q1000426,"Buczek, Bialogard County"
Q1000429,pielnia
Q1000437,ouvidor
Q1000438,szczawnica
Q1000658,budapest agreement
Q1000671,"witmarsum, santa catarina"
Q1000673,varzina river
Q1000701,Gross Lassowitz
Q1000823,Eğin
Q1000831,yegorlykskaya
Q1000852,Jañaözen
Q1000856,zimovniki
Q1000870,Buddhism in croatia
Q1000871,tuzluca
Q1000912,piotr trzaskalski
Q1000938,Duchy of Tost
Q1000971,Mrkonjic-Grad
Q1001104,History of Temirtau
Q1001200,history of prószków
Q1001207,orzesze
Q1001212,Dziekanstwo
Q1001225,Duszniki Zdrój
Q1001231,niedersalzbrunn
Q1001239,kalety
Q1001243,Pszow
Q1001251,Ochodze
Q1001259,"Buszkowice, Lower Silesian Voivodeship"
Q1001275,polska nowa wies
Q1001286,chmiellowitz
Q1001297,Ustron
Q1001307,Gogolin
Q1001322,syców
Q1001326,Peiskretscham
Q1001338,baden-wuerttemberg cooperative state university loerrach
Q1001385,National Film Actors' Theatre
Q10014,"Kampen, Netherlands"
Q1001430,hårlev
Q1001470,"Montenegro, Rio Grande do Sul"
Q1001496,jeziorany
Q1001506,"budki, pomeranian voivodeship"
Q1001512,Priobye
Q1001517,Sompolno
Q1001553,Budowo
Q1001568,Budry
Q1001571,zalewo
Q1001594,"okrzeszyn, lower silesian voivodeship"
Q1001618,Finčevec
Q1001627,budzimskie
Q1001638,"Budziszow, Wroclaw County"
Q100172,président de la diète de pologne
Q1001752,Novaya Chara
Q1001806,"plastun, primorsky krai"
Q1001882,"fyodorovsky municipal district, bashkortostan"
Q1002,Chukchi Peninsula
Q100205,Jakob Eltz
Q1002189,Mokošica
Q1002249,The Football Tournament
Q1002258,Bugar
Q1002260,janjina
Q1002340,ladimireveci
Q1002355,krizpolje
Q1002533,Izbica Kujawska
Q1002571,kolosjoki
Q1002586,Dębostrów
Q1002592,"Psary, Będzin County"
Q1002595,lyski
Q1002621,Tilichiki
Q1002653,"bulawa, opole voivodeship"
Q1002658,wielichowo
Q1002670,poniec
Q1002685,Stawiszyn
Q1002696,trzemeszno
Q1002697,part publication
Q10027,Baarn
Q1002706,Kanevskaya
Q1002714,Mierzęcice
Q1002744,Shipitsyno
Q1002766,Kol'tsovo
Q1002769,"Savinskoye Urban Settlement, Arkhangelsk Oblast"
Q1002796,giovane alve da silva
Q1002818,Ceilândia
Q1002883,smirnykh
Q1002944,Zdzieszowice
Q1002962,Miasteczko Krajenskie
Q1002971,fili (moscow)
Q1002994,nieborów
Q1003,NSZZ Solidarity
Q1003001,Jemielnica
Q1003016,Leśnica
Q1003112,niemodlin
Q1003182,Guelsehir
Q1003206,Sjaellands odde
Q1003227,Sadlinki
Q1003237,bukachacha
Q1003264,czchów
Q1003267,Koniecpol
Q1003272,sulkowice
Q1003276,międzyborz
Q1003279,dobczyce
Q1003283,Kcynia
Q1003290,"lichnowy, malbork county"
Q1003295,"Osiek, Starogard County"
Q1003300,przytoczna
Q1003302,Aw-Barre
Q1003304,Pszczew
Q1003380,"Bukowa, Pomeranian Voivodeship"
Q1003383,Jerup
Q1003392,"Formosa, Goiás"
Q1003396,Montes Claros de Goias
Q1003399,conde (bahia)
Q1003402,gouvelândia
Q1003403,"Bukowo, Koszalin County"
Q1003404,bukowo morskie
Q1003406,"Bukowo, Bialogard County"
Q1003407,Mossamedes
Q1003408,Bukowina Tatrzanska
Q1003412,"Nova Roma, Goias"
Q1003417,Colinas do Sul
Q1003419,mozarlandia
Q1003422,francis litsingi
Q1003423,Sao Jose del Rei
Q1003429,"History of Cruzeiro, São Paulo"
Q1003435,Padre Bernardo
Q1003438,Urutai
Q1003443,goiandira
Q1003444,"bukowka, pomeranian voivodeship"
Q1003446,bukówko
Q1003447,Professor Jamil
Q1003452,Paranaiguara
Q1003456,cunha
Q1003462,Cristianópolis
Q1003468,"Mundo Novo, Goias"
Q1003473,marialva
Q1003484,ivan frankopan
Q1003505,Ludwikowice Kłodzkie
Q1003520,miłoradz
Q1003527,subkowy
Q1003533,Konarzyny
Q1003537,Bulbjerg
Q1003579,Obozersky
Q1003601,lubiszyn
Q1003612,lelkowo
Q1003621,wydminy
Q1003733,Cedry Wielkie
Q10037462,"que sera, sera (film)"
Q1003751,pozezdrze
Q1003885,Pinarhisar
Q1003919,kelkit
Q1003930,"karbasan, uşak"
Q1003948,Ordu-Muradiye
Q1003953,kangal
Q1004037,Frederik André Henrik Christian
Q1004078,Planaltina de Goias
