subject_id,subject_name,relation_id,relation_name,object_id,object_name
Q7253352,"Przedmoscie, Sroda Slaska County",P17,country,Q36,PolanD
Q2425753,maksym levytskyi,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q284085,Jaketići,P17,country,Q225,босна и херцеговина
Q4754830,andre luiz baracho,P19,place of birth,Q155,Brzil
Q498922,galina kreft,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q584545,krzcin,P17,country,Q36,PolanD
Q7171249,Estupro!,P495,country of origin,Q155,Brzil
Q7178838,petrit vasili,P27,country of citizenship,Q222,Albania
Q388687,Sehmus Ozer,P19,place of birth,Q945363,Ergani
Q20641142,andrey makhayev,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q979668,kvyat,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q5627576,głucha puszcza,P17,country,Q36,PolanD
Q573135,ali bilgin,P54,member of sports team,Q608122,kayserispor
Q2324499,gmina szelków,P17,country,Q36,PolanD
Q4730238,Alla Ablaberdyeva,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q2366127,aleksandr kaliaghin,P27,country of citizenship,Q15180,SU (country)
Q8080277,izzet kaya,P106,occupation,Q937857,Association football player
Q6799402,malgow,P17,country,Q36,PolanD
Q721676,battle of warka,P17,country,Q36,PolanD
Q3245456,Tetovo Opština,P17,country,Q221,fyro macedonia
Q1078991,1958 World Cup Final,P17,country,Q155,Brzil
Q6048799,alinur aktaş,P19,place of birth,Q343973,İnegöl
Q4344470,Nikolai Panchenko,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q7392259,sp-272,P17,country,Q155,Brzil
Q8082095,świebodna,P17,country,Q36,PolanD
Q4752130,anatoli volkov,P27,country of citizenship,Q15180,SU (country)
Q16953567,brendan's magical mystery tour,P407,language of work or name,Q1860,Number of words in English
Q1865363,Yenimahalle,P31,instance of,Q486972,community
Q958175,Kurmangazy field,P17,country,Q232,qazaqstan respwblïkası
Q16235957,Andrei Andreyevich Volobuyev,P27,country of citizenship,Q159,Оросын Холбооны Улс
Q6094502,hasan vezir,P641,sport,Q2736,futebol
Q19829403,josif kazanxhi,P27,country of citizenship,Q222,Albania
Q1536304,Mehmet Kara,P118,league,Q154069,3. Liga
Q1695947,Aleksandr Vasilyevich Feklistov,P27,country of citizenship,Q15180,SU (country)
Q49790,guido kocer,P1412,"languages spoken, written or signed",Q188,iso 639:deu
