entity_id,name,description,matched_relation
Q1339591,emre torun,Emre Torun (born 2 June 1993) is a Turkish footballer who plays for Bugsaşspor.,country of citizenship
Q432213,Ceyda Aktas,"Ceyda Aktaş (born August 18, 1994 in Ankara, Turkey) is a Turkish female volleyball player. She is 189 cm (6.20 ft) tall at 77 kg (170 lb) and plays in the wing spiker position.Ceyda describes herself as having been hyperactive in her childhood. For this, her parents canalized her to performing sports and dancing. She first began with playing basketball, but left it because she was not interested anymore. Ceyda then learned and performed Latin dances, participating at dance competitions as well. Due to her physique, she was discovered by volleyball coaches Zeycan Acar and Taner Atik, who visited her class in the school while searching for potential volleyballers. At the age of ten, Ceyda began playing volleyball in 2004 as a member of Ankara VakıfBank's girls team.After having played for TVF Sport High School between 2009-2011, she transferred to the Istanbul club VakıfBank Türk Telekom in the 2011-12 season. She returned to her hometown to study at TED University. Ceyda is currently with the TED Ankara Kolejliler. Aktaş debuted in the Turkey girls' youth national volleyball team in 2011 and is currently a member of the Turkey women's junior national volleyball team. She wears number 7.",country of citizenship
Q840040,Rize Atatürk Stadı,"Rize Atatürk Stadium was a multi-purpose stadium in Rize, Turkey.  It was used mostly for football matches and was the home ground of Çaykur Rizespor.The stadium held 10,459 people.",country
Q550752,Murat Yildirim (footballer),"Murat Yıldırım (born 18 May 1987) is a professional footballer who plays as a midfielder for Yeni Malatyaspor. Yıldırım picked up caps as a youth international, having been capped twice by the Turkey national under-19 team, and most recently by the Netherlands U21.",country of citizenship
Q1333501,Yigitcan Erdogan,Yiğitcan Erdoğan (born 13 March 1984) is a Turkish football defender who plays for Elazığspor.,country of citizenship
Q791567,bayrampaşa,"Bayrampaşa (pronounced [bajˈɾampaʃa]) is a suburban district of Istanbul, Turkey on the European side of the city. The district comprises both working class residential and industrial areas. The population is 240,000 (1997), and the district covers an area of 8 km2 (3.1 sq mi). The mayor is Atila Aydıner (AKP). It was part of Fatih district till 1936 and Eyüp one between 1936 and 1990. Former name of Bayrampaşa was ""Sağmalcılar"" till 1960s. Its neighbours are Gaziosmanpaşa from north, Eyüp from east, Zeytinburnu from south and Esenler from west.The people of Bayrampaşa are mainly Albanians and Bosniaks. The housing in Bayrampaşa is generally poor quality and there are workshops and small factories even in the residential streets, while large areas of the district are purely industrial.There are a number of important public buildings in the area: Istanbul's largest prison (that has been now idled); two large sports complexes; the main bus station (which is actually in Bayrampaşa although it is named Esenler bus station). Bayrampaşa lies on the route of the old road to Thrace and a number of major roads and a light railway run through the middle of the area.The area was known as Sağmalcılar until 1970, when a large outbreak of cholera, caused by pollution of the Ottoman-built water supply by new buildings and factories, led to the area being quarantined. Following this incident, the name Sağmalcılar became synonymous with cholera, so the district was renamed Bayrampaşa, after the 17th-century Ottoman grand vizier Bayram Pasha. Little of the Ottoman water system, which was built by Mimar Sinan, remains today.Bayrampaşa is famous for its artichokes produced in the past, but now although there is no production in the region its name is given to a variety of artichoke in Turkey. Also there is a large statue of an artichoke in the middle of the district which became a symbol of the region.The local football team based in the district is called Bayrampaşaspor.On 1 December 2015, an explosion occurred near Bayrampaşa metro station, leaving several injured.",country
Q16908994,Yunus Emre Yalcin,Yunus Emre Yalçın (born 12 September 1994) is a Turkish footballer who plays for İstanbulspor. He made his Süper Lig debut on 16 May 2014.,country of citizenship
Q16210625,Ekrem Boyali,Ekrem Boyalı (born 15 July 1970) is an Olympian Turkish former Taekwondo practitioner and coach.,country of citizenship
Q1351037,Turgutluspor,"Turgutluspor is a sports club located in Turgutlu, Manisa Province. The football clubs plays in the TFF Third League.",country
Q17432101,muhammed alperen uysal,Muhammed Alperen Uysal (born 1 January 1994) is a Turkish professional footballer who plays as a goalkeeper for Turkish TFF First League club İstanbulspor. He made his professional debut for Gaziantepspor in a 4-0 loss to Beşiktaş 2 April 2016.,country of citizenship
