subject_id,subject_name,relation_id,relation_name,object_id,object_name
Q388687,Sehmus Ozer,P19,place of birth,Q945363,Ergani
Q573135,ali bilgin,P54,member of sports team,Q608122,kayserispor
Q8080277,izzet kaya,P106,occupation,Q937857,Association football player
Q1865363,Yenimahalle,P31,instance of,Q486972,community
Q6094502,hasan vezir,P641,sport,Q2736,futebol
Q1536304,Mehmet Kara,P118,league,Q154069,3. Liga
Q178148,Fahri Tatan,P19,place of birth,Q201101,Rizounta
Q10427256,tayfun turkmen,P413,position played on team / speciality,Q280658,Centre Forward
Q6090957,Yılmaz Yücetürk,P54,member of sports team,Q6601875,fenerbahçe s.k. (football)
Q937898,orhan ak,P54,member of sports team,Q556570,buyuksehir belediye ankaraspor
Q510428,polat keser,P54,member of sports team,Q915883,Tokatspor
Q1347836,osman arpacıoğlu,P31,instance of,Q5,Huamn
Q6087377,bayram bektaş,P54,member of sports team,Q434929,Altay Izmir
Q820135,Dilaver Güçlü,P54,member of sports team,Q128148,Vestel Manisaspor
Q18176342,68 yeni aksarayspor,P641,sport,Q2736,futebol
Q1339591,emre torun,P27,country of citizenship,Q43,turkiye
Q205617,recep yıldız,P54,member of sports team,Q1624749,Turkey U-21
Q550712,kamil corekci,P54,member of sports team,Q630348,bucaspor
Q432213,Ceyda Aktas,P27,country of citizenship,Q43,turkiye
Q17418282,Mehmet Tas,P54,member of sports team,Q929360,mersin i̇.y
Q14028172,1930–31 istanbul football league,P641,sport,Q2736,futebol
Q2392344,taner gülleri,P54,member of sports team,Q352251,Adana Demirspor
Q1372826,onur recep kivrak,P106,occupation,Q937857,Association football player
Q840040,Rize Atatürk Stadı,P17,country,Q43,turkiye
Q6081427,Vedat Kapurtu,P54,member of sports team,Q1423118,Goztepe S.K.
Q651954,"Adın, Olcan",P54,member of sports team,Q1170018,Kartalspor
Q836130,kenan şahin (footballer),P54,member of sports team,Q556570,buyuksehir belediye ankaraspor
Q13572006,deniz turuc,P641,sport,Q2736,futebol
Q348199,Mehmet Topal,P413,position played on team / speciality,Q193592,Right-half
Q1628465,TKİ Tavşanlı Linyitspor,P115,home venue,Q6045919,Dumlupınar Stadium
Q215577,Eren Derdiyok,P54,member of sports team,Q189671,basel fc
