subject_id,subject_name,relation_id,relation_name,object_id,object_name
Q7113196,ovacuma,P17,country,Q43,turkiye
Q7424903,"sarıhalil, polatlı",P17,country,Q43,turkiye
Q6764162,"ebegümeci, zonguldak",P17,country,Q43,turkiye
Q3022142,demirkazık peak,P17,country,Q43,turkiye
Q6077382,huseyin capkin,P27,country of citizenship,Q43,turkiye
Q1397172,"örencik, bolu",P17,country,Q43,turkiye
Q4300271,Inanc high school,P17,country,Q43,turkiye
Q4821014,"yigitpinari, ihsaniye",P17,country,Q43,turkiye
Q6393907,"kerimler, tarsus",P17,country,Q43,turkiye
Q1164646,confederation of progressive trade unions of turkey,P17,country,Q43,turkiye
Q4899832,"Beybagi, Kozluk",P17,country,Q43,turkiye
Q4830419,Ağdacı,P17,country,Q43,turkiye
Q4828738,"yolağzı, ardanuç",P17,country,Q43,turkiye
Q8077709,"Ciftlikkoy, Kalecik",P17,country,Q43,turkiye
Q1339591,emre torun,P27,country of citizenship,Q43,turkiye
Q4708304,"Alanyurt, İscehisar",P17,country,Q43,turkiye
Q16901740,"Tirnak, Gulnar",P17,country,Q43,turkiye
Q1582335,"turkish general election, 1991",P17,country,Q43,turkiye
Q16941168,Vizier's fingers,P495,country of origin,Q43,turkiye
Q432213,Ceyda Aktas,P27,country of citizenship,Q43,turkiye
Q4827225,"cayan, goynucek",P17,country,Q43,turkiye
Q4823920,"görle, karacasu",P17,country,Q43,turkiye
Q78168,Mehmet Kurtuluş,P27,country of citizenship,Q43,turkiye
Q1366118,Yaşar Erkan,P27,country of citizenship,Q43,turkiye
Q840040,Rize Atatürk Stadı,P17,country,Q43,turkiye
Q8077554,"Çatalca, Tarsus",P17,country,Q43,turkiye
Q792833,"Ayazini, Ihsaniye",P17,country,Q43,turkiye
Q2551174,golmarmara,P17,country,Q43,turkiye
Q4817742,"Kizilot, Manavgat",P17,country,Q43,turkiye
Q22039066,january 2016 istanbul bombing,P17,country,Q43,turkiye
Q5090532,bursa mudanya railway,P17,country,Q43,turkiye
Q4830059,"büyükkızılkum, bartın",P17,country,Q43,turkiye
Q344021,i̇psala,P17,country,Q43,turkiye
Q16851648,kara murat şeyh gaffar'a karşı (film),P495,country of origin,Q43,turkiye
Q989446,"Yenikoy, Yumurtalik",P17,country,Q43,turkiye
Q8077790,cubuk-2 dam,P17,country,Q43,turkiye
Q8080027,Ibrahim Parlak,P27,country of citizenship,Q43,turkiye
Q43,turkiye,P47,shares border with,Q399,Hayastani Hanrapetut’yun
Q2622371,Eren Ozker,P27,country of citizenship,Q43,turkiye
Q4816736,"elbeyli, mut",P17,country,Q43,turkiye
Q4874641,"baymis, aksaray",P17,country,Q43,turkiye
Q7161864,pembe köşk,P17,country,Q43,turkiye
Q5303861,dogan kuban,P27,country of citizenship,Q43,turkiye
Q4947659,"bostanlar, amasra",P17,country,Q43,turkiye
Q5285280,djelal munif bey,P27,country of citizenship,Q43,turkiye
